code_facture,code_client,date_commande,ref_commercial,societe,mois,annee,annee_mois,jour_semaine,trimestre
V24-FAC+00002,CLT082902,2024-01-08,SE,LSAT,1,2024,2024-01,0,1
V24-FAC+00003,CLT058599,2024-01-08,KO,LSAT,1,2024,2024-01,0,1
V24-FAC+00004,CLT097966,2024-01-08,ML,LSAT,1,2024,2024-01,0,1
V24-FAC+00006,CLT011712,2024-01-08,ML,LSAT,1,2024,2024-01,0,1
V24-FAC+00007,CLT011712,2024-01-08,ML,LSAT,1,2024,2024-01,0,1
V24-FAC+00008,CLT011712,2024-01-08,ML,LSAT,1,2024,2024-01,0,1
V24-FAC+00009,CLT105443,2024-01-08,ML,LSAT,1,2024,2024-01,0,1
V24-FAC+00010,CLT105443,2024-01-08,ML,LSAT,1,2024,2024-01,0,1
V24-FAC+00011,CLT109629,2024-01-08,IS,LSAT,1,2024,2024-01,0,1
V24-FAC+00012,CLT105860,2024-01-08,IS,LSAT,1,2024,2024-01,0,1
V24-FAC+00013,CLT099780,2024-01-08,IS,LSAT,1,2024,2024-01,0,1
V24-FAC+00014,CLT108832,2024-01-08,IS,LSAT,1,2024,2024-01,0,1
V24-FAC+00015,CLT105471,2024-01-08,IS,LSAT,1,2024,2024-01,0,1
V24-FAC+00016,CLT110797,2024-01-08,IS,LSAT,1,2024,2024-01,0,1
V24-FAC+00017,CLT110797,2024-01-08,IS,LSAT,1,2024,2024-01,0,1
V24-FAC+00018,CLT105471,2024-01-08,IS,LSAT,1,2024,2024-01,0,1
V24-FAC+00019,CLT109629,2024-01-08,IS,LSAT,1,2024,2024-01,0,1
V24-FAC+00020,CLT099780,2024-01-08,IS,LSAT,1,2024,2024-01,0,1
V24-FAC+00021,CLT097621,2024-01-08,IS,LSAT,1,2024,2024-01,0,1
V24-FAC+00023,CLT097057,2024-01-09,MCH,LSAT,1,2024,2024-01,1,1
V24-FAC+00024,CLT105703,2024-01-09,AJ,LSAT,1,2024,2024-01,1,1
V24-FAC+00025,CLT097057,2024-01-09,MCH,LSAT,1,2024,2024-01,1,1
V24-FAC+00026,CLT097057,2024-01-09,MCH,LSAT,1,2024,2024-01,1,1
V24-FAC+00027,CLT105703,2024-01-09,AJ,LSAT,1,2024,2024-01,1,1
V24-FAC+00028,CLT091331,2024-01-09,MCH,LSAT,1,2024,2024-01,1,1
V24-FAC+00029,CLT106486,2024-01-09,IS,LSAT,1,2024,2024-01,1,1
V24-FAC+00030,CLT106486,2024-01-09,IS,LSAT,1,2024,2024-01,1,1
V24-FAC+00032,CLT105703,2024-01-09,LSAT,LSAT,1,2024,2024-01,1,1
V24-FAC+00034,CLT107978,2024-01-09,YD,LSAT,1,2024,2024-01,1,1
V24-FAC+00035,CLT012878,2024-01-09,IBD,LSAT,1,2024,2024-01,1,1
V24-FAC+00036,CLT103123,2024-01-09,IBD,LSAT,1,2024,2024-01,1,1
V24-FAC+00037,CLT095704,2024-01-09,ML,LSAT,1,2024,2024-01,1,1
V24-FAC+00038,CLT011712,2024-01-09,ML,LSAT,1,2024,2024-01,1,1
V24-FAC+00039,CLT099267,2024-01-09,LSAT,LSAT,1,2024,2024-01,1,1
V24-FAC+00040,CLT098037,2024-01-09,LSAT,LSAT,1,2024,2024-01,1,1
V24-FAC+00041,CLT111816,2024-01-09,IS,LSAT,1,2024,2024-01,1,1
V24-FAC+00042,CLT111816,2024-01-09,IS,LSAT,1,2024,2024-01,1,1
V24-FAC+00043,CLT111816,2024-01-09,IS,LSAT,1,2024,2024-01,1,1
V24-FAC+00044,CLT110823,2024-01-09,AJ,LSAT,1,2024,2024-01,1,1
V24-FAC+00045,CLT110823,2024-01-09,AJ,LSAT,1,2024,2024-01,1,1
V24-FAC+00046,CLT104926,2024-01-09,SE,LSAT,1,2024,2024-01,1,1
V24-FAC+00047,CLT071425,2024-01-10,LSAT,LSAT,1,2024,2024-01,2,1
V24-FAC+00048,CLT071425,2024-01-10,LSAT,LSAT,1,2024,2024-01,2,1
V24-FAC+00050,CLT107590,2024-01-10,IS,LSAT,1,2024,2024-01,2,1
V24-FAC+00051,CLT100296,2024-01-10,IS,LSAT,1,2024,2024-01,2,1
V24-FAC+00052,CLT098037,2024-01-10,LSAT,LSAT,1,2024,2024-01,2,1
V24-FAC+00053,CLT026177,2024-01-10,IS,LSAT,1,2024,2024-01,2,1
V24-FAC+00054,CLT011292,2024-01-10,KO,LSAT,1,2024,2024-01,2,1
V24-FAC+00055,CLT090241,2024-01-10,ML,LSAT,1,2024,2024-01,2,1
V24-FAC+00056,CLT091206,2024-01-10,ML,LSAT,1,2024,2024-01,2,1
V24-FAC+00057,CLT095704,2024-01-10,ML,LSAT,1,2024,2024-01,2,1
V24-FAC+00058,CLT090241,2024-01-10,ML,LSAT,1,2024,2024-01,2,1
V24-FAC+00059,CLT091206,2024-01-10,ML,LSAT,1,2024,2024-01,2,1
V24-FAC+00060,CLT091206,2024-01-10,ML,LSAT,1,2024,2024-01,2,1
V24-FAC+00061,CLT091206,2024-01-10,ML,LSAT,1,2024,2024-01,2,1
V24-FAC+00062,CLT103129,2024-01-10,IBD,LSAT,1,2024,2024-01,2,1
V24-FAC+00063,CLT103123,2024-01-10,IBD,LSAT,1,2024,2024-01,2,1
V24-FAC+00064,CLT103123,2024-01-10,IBD,LSAT,1,2024,2024-01,2,1
V24-FAC+00065,CLT103129,2024-01-10,IBD,LSAT,1,2024,2024-01,2,1
V24-FAC+00066,CLT012878,2024-01-10,IBD,LSAT,1,2024,2024-01,2,1
V24-FAC+00067,CLT103129,2024-01-10,IBD,LSAT,1,2024,2024-01,2,1
V24-FAC+00068,CLT110970,2024-01-11,FJR,LSAT,1,2024,2024-01,3,1
V24-FAC+00069,CLT110970,2024-01-11,FJR,LSAT,1,2024,2024-01,3,1
V24-FAC+00070,CLT110970,2024-01-11,FJR,LSAT,1,2024,2024-01,3,1
V24-FAC+00071,CLT110685,2024-01-11,LSAT,LSAT,1,2024,2024-01,3,1
V24-FAC+00072,CLT076898,2024-01-11,ML,LSAT,1,2024,2024-01,3,1
V24-FAC+00073,CLT091206,2024-01-11,ML,LSAT,1,2024,2024-01,3,1
V24-FAC+00074,CLT105759,2024-01-11,MH,LSAT,1,2024,2024-01,3,1
V24-FAC+00075,CLT111672,2024-01-11,MH,LSAT,1,2024,2024-01,3,1
V24-FAC+00076,CLT111672,2024-01-11,MH,LSAT,1,2024,2024-01,3,1
V24-FAC+00077,CLT097641,2024-01-11,BY,LSAT,1,2024,2024-01,3,1
V24-FAC+00078,CLT099592,2024-01-11,BY,LSAT,1,2024,2024-01,3,1
V24-FAC+00079,CLT111672,2024-01-11,MH,LSAT,1,2024,2024-01,3,1
V24-FAC+00080,CLT110509,2024-01-11,MH,LSAT,1,2024,2024-01,3,1
V24-FAC+00081,CLT110509,2024-01-11,MH,LSAT,1,2024,2024-01,3,1
V24-FAC+00082,CLT091744,2024-01-11,LSAT,LSAT,1,2024,2024-01,3,1
V24-FAC+00083,CLT011712,2024-01-11,ML,LSAT,1,2024,2024-01,3,1
V24-FAC+00084,CLT108246,2024-01-11,MH,LSAT,1,2024,2024-01,3,1
V24-FAC+00085,CLT108246,2024-01-11,MH,LSAT,1,2024,2024-01,3,1
V24-FAC+00086,CLT111330,2024-01-11,LSAT,LSAT,1,2024,2024-01,3,1
V24-FAC+00087,CLT108987,2024-01-11,FJR,LSAT,1,2024,2024-01,3,1
V24-FAC+00088,CLT098629,2024-01-11,SE,LSAT,1,2024,2024-01,3,1
V24-FAC+00089,CLT110823,2024-01-11,AJ,LSAT,1,2024,2024-01,3,1
V24-FAC+00091,CLT011029,2024-01-11,FJR,LSAT,1,2024,2024-01,3,1
V24-FAC+00093,CLT107311,2024-01-11,FJR,LSAT,1,2024,2024-01,3,1
V24-FAC+00094,CLT061147,2024-01-11,AL,LSAT,1,2024,2024-01,3,1
V24-FAC+00095,CLT061147,2024-01-11,AL,LSAT,1,2024,2024-01,3,1
