latitude,longitude,code_client,societe
35.8198925,10.5924013,CLT001977,LSAT
32.9280264,10.4485773,CLT007994,LSAT
34.7517297,10.7754027,CLT011029,LSAT
33.8839811,10.0924983,CLT011090,LSAT
36.8029025,10.1827232,CLT011712,LSAT
34.7316278,10.7616919,CLT019390,LSAT
34.7453741,10.7628848,CLT023447,LSAT
34.7434837,10.7635424,CLT025126,LSAT
36.4546979,10.7336589,CLT026177,LSAT
36.7517128,10.2243685,CLT027007,LSAT
36.7829856,10.2327446,CLT030502,LSAT
36.6502008,9.6085296,CLT033306,LSAT
35.7278425,10.5744092,CLT034272,LSAT
36.8266216,10.1828807,CLT043635,LSAT
36.4011775,10.6116039,CLT049472,LSAT
35.037252,9.4900714,CLT055810,LSAT
34.7302271,10.7420541,CLT057465,LSAT
37.1541693,9.7922568,CLT057723,LSAT
34.7952445,10.7428627,CLT059791,LSAT
35.7698193,10.8361862,CLT064107,LSAT
36.4543683,10.7338217,CLT064884,LSAT
36.8065993,10.1802799,CLT065804,LSAT
34.7443179,10.7541309,CLT066258,LSAT
36.7311582,10.3362569,CLT067308,LSAT
36.839329,10.1142916,CLT068009,LSAT
36.8036041,10.1832659,CLT068613,LSAT
36.5749016,10.8588288,CLT069189,LSAT
34.7426085,10.7554844,CLT076145,LSAT
36.796048,10.1818642,CLT076898,LSAT
36.7280488,9.1837877,CLT078354,LSAT
34.7296599,10.7606537,CLT078992,LSAT
37.2712818,9.8695514,CLT079214,LSAT
33.8094302,10.9910104,CLT079367,LSAT
35.500172,11.0528229,CLT079817,LSAT
36.4549611,10.7335493,CLT080892,LSAT
37.1540897,9.7921589,CLT080975,LSAT
34.7320495,10.7656506,CLT083831,LSAT
37.2725736,9.8723733,CLT084040,LSAT
36.8122591,10.18164,CLT089765,LSAT
35.6733195,10.1017371,CLT090166,LSAT
36.8438893,10.2035656,CLT090241,LSAT
36.8327626,10.2057672,CLT091206,LSAT
37.2713529,9.869505,CLT091331,LSAT
36.864248,10.1668783,CLT092649,LSAT
35.7316128,10.5766855,CLT094912,LSAT
36.6793682,10.2873188,CLT095444,LSAT
36.799151,10.1816154,CLT095704,LSAT
33.9370078,10.0675008,CLT096970,LSAT
36.8593339,10.2010722,CLT097224,LSAT
35.2333678,9.1245447,CLT097641,LSAT
36.8725624,10.2789108,CLT097896,LSAT
33.7060502,8.9697653,CLT097923,LSAT
36.4050292,10.5612127,CLT098058,LSAT
34.7392526,10.7539665,CLT098090,LSAT
36.4005508,10.6119207,CLT098271,LSAT
35.7687493,10.8205454,CLT099247,LSAT
35.837767,10.596606,CLT099325,LSAT
36.7921619,10.1717182,CLT099330,LSAT
36.7364726,10.2427022,CLT099366,LSAT
35.6727943,10.1021476,CLT099558,LSAT
35.233319,9.1245005,CLT099592,LSAT
34.7323066,10.7620914,CLT099746,LSAT
36.8662554,10.1649905,CLT099780,LSAT
36.8577703,10.1904069,CLT099816,LSAT
33.8856947,10.1003454,CLT100092,LSAT
36.5802285,10.8594816,CLT100296,LSAT
37.2718178,9.8706614,CLT100521,LSAT
35.8659668,10.5705926,CLT100647,LSAT
36.8359464,10.1592956,CLT100767,LSAT
35.6834026,10.0917388,CLT100820,LSAT
34.7432399,10.7634193,CLT100838,LSAT
37.1397747,10.0984228,CLT100991,LSAT
36.501417,8.7794476,CLT100997,LSAT
33.8874817,10.0948412,CLT101092,LSAT
35.6734114,10.1016246,CLT101157,LSAT
36.8041909,10.1798099,CLT101202,LSAT
36.650348,9.6089581,CLT101702,LSAT
34.7538561,10.7108129,CLT101737,LSAT
36.404745,10.6122491,CLT101911,LSAT
33.8075116,10.9895351,CLT101926,LSAT
35.8589179,9.2028971,CLT101999,LSAT
33.8850861,10.0961265,CLT102043,LSAT
34.4409763,8.7787932,CLT102370,LSAT
36.7226975,9.1894964,CLT103105,LSAT
35.768756,10.8205454,CLT103147,LSAT
34.7406659,10.7526333,CLT103293,LSAT
34.769971,10.7876804,CLT103431,LSAT
36.6087562,8.9710875,CLT103872,LSAT
36.8098774,10.0936979,CLT103881,LSAT
33.6162797,10.2893435,CLT104004,LSAT
36.7750061,10.1803122,CLT104120,LSAT
35.8660329,10.572246,CLT104135,LSAT
36.8490369,11.0899625,CLT104185,LSAT
35.7703688,10.8293399,CLT104257,LSAT
36.4041042,10.6113318,CLT104700,LSAT
37.0838974,9.5353955,CLT104796,LSAT
35.8589155,9.2028989,CLT105047,LSAT
35.2929218,10.7080278,CLT105229,LSAT
36.8050828,10.1805506,CLT105471,LSAT
33.9225941,8.1341785,CLT105538,LSAT
36.8116414,10.1510816,CLT105594,LSAT
36.8571482,10.1608141,CLT105678,LSAT
35.8589179,9.2028972,CLT105736,LSAT
35.2929338,10.7080544,CLT105759,LSAT
36.8573225,10.1609906,CLT105792,LSAT
32.9278343,10.4486605,CLT105807,LSAT
35.6738119,10.1014346,CLT105808,LSAT
36.4560086,10.7327883,CLT105908,LSAT
36.7371473,10.2082581,CLT105980,LSAT
36.5982911,10.4984969,CLT106020,LSAT
36.8581625,10.189437,CLT106022,LSAT
34.7302917,10.7638202,CLT106044,LSAT
36.5982847,10.4985121,CLT106142,LSAT
